year,state,State CPI
2003,MN,2.346718276957271
2004,MN,2.789494524257446
2005,MN,3.463984556374693
2006,MN,3.61520554
2007,MN,3.133767942953847
2008,MN,4.278086569177902
2009,MN,1.0
2010,MN,1.6705790628834605
2011,MN,2.7329749137733126
2012,MN,1.8404302476385737
2013,MN,1.5198202245418797
2014,MN,1.0564246893109286
2015,MN,1.617003524865943
2016,MN,2.092190095261513
2017,MN,1.0227871510677284
1989,MS,4.284090235725581
1990,MS,4.4775717333568865
1991,MS,3.554077674
1992,MS,1.6691009922452158
1993,MS,1.8148199448788185
1994,MS,2.7761737729397806
1995,MS,1.7486964328290346
1996,MS,0.798078363
1997,MS,0.8823645814615895
1998,MS,1.664323386434579
1999,MS,2.1215335039760967
2000,MS,3.0672966929981267
2001,MS,3.4664353876455327
2002,MS,1.311164985
2003,MS,3.867865910401243
2004,MS,2.699466505966606
2005,MS,3.7811275243418785
2006,MS,3.949502943
2007,MS,3.3445738050345444
2008,MS,5.635309656803267
2009,MS,3.346626889872764
2010,MS,1.0
2011,MS,1.642557117967128
2012,MS,2.0628501677304385
2013,MS,1.8634376178509424
2014,MS,2.872297698438012
2015,MS,1.0
2016,MS,0.4170520541779488
2017,MS,1.1440670192390865
1978,MO,7.500311083196582
1979,MO,10.585183606671878
1980,MO,11.082087989376165
1981,MO,8.994333452584959
1982,MO,7.614437612
1983,MO,5.1512895172905715
1984,MO,3.007566107370047
1985,MO,2.8059256654707863
1986,MO,1.3926054086805386
1989,MO,3.961194749009621
1990,MO,4.436073693
1991,MO,2.8918428902765982
1992,MO,2.353539629510593
1993,MO,2.6126943713537285
1994,MO,3.0447089732131487
1995,MO,1.851490220058058
1996,MO,2.154247185563265
1997,MO,1.8652295945865147
1998,MO,1.1664212688824946
1999,MO,1.5020923742171448
2000,MO,3.3170748393369727
2001,MO,2.524629543473387
2002,MO,1.910892218437249
2003,MO,2.508674924731906
2004,MO,2.328987071659191
2005,MO,2.1638977280484224
2006,MO,2.216538132908067
2007,MO,2.117223699
2008,MO,2.615837530342671
2009,MO,1.1288072162856289
2010,MO,1.4726339206755958
2011,MO,3.2305526902638775
2012,MO,2.427623662453178
2013,MO,2.106247505456946
2014,MO,1.3047240458738554
2015,MO,1.0
2016,MO,1.4839661425695394
2017,MO,2.1535001533220264
1978,NJ,4.230769655984148
1979,NJ,4.713734970497775
1980,NJ,9.158967006
1981,NJ,7.562575379262422
1982,NJ,3.684791826541363
1983,NJ,1.9103952552036243
1984,NJ,2.0657392851426484
1985,NJ,1.3110075443201294
1986,NJ,1.2453942687795578
1989,NJ,3.3483047511985555
1990,NJ,2.4203283368817408
1991,NJ,4.479331711089707
1992,NJ,1.0
1993,NJ,3.0132262594859576
1994,NJ,2.0974139361861144
1995,NJ,2.0622773958990313
1996,NJ,1.849550534166568
1997,NJ,1.757415864519005
1998,NJ,1.603068943
1999,NJ,1.6658280706985973
2000,NJ,1.6547623213204024
2001,NJ,1.9176351624460448
2002,NJ,1.850319412900377
2003,NJ,1.852257934550648
2004,NJ,3.148838677
2005,NJ,5.372788683212535
2006,NJ,3.374410272337224
2007,NJ,1.8903312228459124
2008,NJ,4.434076041922935
2009,NJ,0.8825161717091219
2010,NJ,2.0256769496128024
2011,NJ,3.715592012822664
2012,NJ,2.270680941052584
2013,NJ,1.7231047017407743
2014,NJ,1.1945729706541297
2015,NJ,0.4468826312511298
2016,NJ,1.713203568176766
2017,NJ,1.0
1978,NY,4.590678715742673
1979,NY,6.936374366237806
1980,NY,9.358349950915189
1981,NY,8.90862078
1982,NY,5.698007141
1983,NY,3.988129541452844
1984,NY,3.358907798225914
1985,NY,1.7003575504321602
1986,NY,0.2989382823215273
1989,NY,4.939181067161979
1990,NY,4.542962816267657
1991,NY,3.681322566
1992,NY,2.439973406523569
1993,NY,2.5241455843186293
1994,NY,2.224002736768486
1995,NY,2.4175896087434654
1996,NY,2.3629494955631647
1997,NY,1.7924845391597128
1998,NY,1.199557650042816
1999,NY,1.626981292353926
2000,NY,3.1742078618292786
2001,NY,2.5058475560380726
2002,NY,1.6752874093595405
2003,NY,3.5355598518997167
2004,NY,2.285753758543855
2005,NY,3.5207834449840916
2006,NY,1.446912374599317
2007,NY,2.159716564
2008,NY,3.3575991528719378
2009,NY,0.968688154
2010,NY,2.4465486598521164
2011,NY,2.962197927531366
2012,NY,1.5430447904476432
2013,NY,1.8162198419258924
2014,NY,1.3090121462454878
2015,NY,0.4430465407291692
2016,NY,0.2571830242664044
2017,NY,1.648315619064468
1989,NC,4.563512858693244
1990,NC,4.154595960283119
1991,NC,2.9181699654312783
1992,NC,2.1681643758493614
1993,NC,2.723225253336037
1994,NC,3.089618262549683
1995,NC,2.990971892885116
1996,NC,2.625331872316228
1997,NC,1.8998829837505329
1998,NC,0.5317522587274485
1999,NC,0.5497640717704174
2000,NC,3.5199830555748868
2001,NC,2.1917941217545978
2002,NC,0.578669484
2003,NC,1.6705810745293492
2004,NC,1.3551701951815631
2005,NC,2.266268828644815
2006,NC,1.0
2007,NC,1.985352436795172
2008,NC,3.745782921066837
2009,NC,1.0
2010,NC,2.129871539760541
2011,NC,2.522007373686795
2012,NC,1.0513268560833815
2013,NC,0.2592419128462308
2014,NC,1.0
2015,NC,0.7839674972704938
2016,NC,1.0
2017,NC,2.9010732978576916
1978,OH,7.493867249642495
1979,OH,8.501445463
1980,OH,11.152649993213425
1981,OH,9.923594460960992
1982,OH,6.7604505499395176
1983,OH,4.973906959913012
1984,OH,3.5835961308728135
1985,OH,3.586760844215554
1986,OH,2.7908127460282226
1989,OH,3.753522219216726
1990,OH,3.7529525609748022
1991,OH,2.926716691586132
1992,OH,1.9449424861871232
1993,OH,2.040129914029038
1994,OH,2.396487581567656
1995,OH,2.720377890907295
1996,OH,2.3868831187216255
1997,OH,1.8328798896875655
1998,OH,1.198343456597995
1999,OH,1.8819917178778145
2000,OH,2.4324753051266725
2001,OH,2.1923622064193453
2002,OH,0.6537509566691015
2003,OH,2.663216173347264
2004,OH,2.8579384095052913
2005,OH,2.8707756360608885
2006,OH,3.365821456339856
2007,OH,2.6805204305251333
2008,OH,4.203513593226815
2009,OH,1.0
2010,OH,2.576975383610795
2011,OH,3.1044780189915056
2012,OH,2.3606547093778363
2013,OH,2.042416921965939
2014,OH,2.300933225982197
2015,OH,0.1230512391986615
2016,OH,0.2354147217420753
2017,OH,1.0955648801472742
1989,OK,6.835533252832275
1990,OK,3.338070828283785
1991,OK,3.1936956758366226
1992,OK,2.9526189697982423
1993,OK,2.766327850791364
1994,OK,0.2443551265721699
1995,OK,2.215174921046557
1996,OK,2.941909540759164
1997,OK,1.976779059680145
1998,OK,3.543853402564687
1999,OK,1.8153651808778923
2000,OK,3.3960530356762497
2001,OK,2.954010525840709
2002,OK,3.045066308
2003,OK,2.719230853892312
2004,OK,4.284070380543628
2005,OK,2.9587617169407094
2006,OK,1.0
2007,OK,1.0
2008,OK,4.771480736645002
2009,OK,0.7797754780079598
2010,OK,0.3731505404151724
2011,OK,2.409768977198723
2012,OK,1.804003165656884
2013,OK,1.7720380466623833
2014,OK,3.3171499538300666
2015,OK,0.8992937990709499
2016,OK,1.0
2017,OK,1.0
1978,OR,3.9382046836259144
1979,OR,7.997553452701563
1980,OR,7.637390189176845
1981,OR,5.733088923735766
1982,OR,5.007316402718107
1983,OR,2.177028773898816
1984,OR,3.4512258772297497
1985,OR,2.8086582050197366
1986,OR,4.4046393011594125
1989,OR,4.4400172792441515
1990,OR,5.328707601
1991,OR,4.697885666561393
1992,OR,3.226442533148268
1993,OR,2.4321863293265764
1994,OR,2.197553303319748
1995,OR,1.5622304761961865
1996,OR,3.698498488314004
1997,OR,2.9893600160348996
1998,OR,1.9415557897260207
1999,OR,2.7816523866967837
2000,OR,3.4133864093884094
2001,OR,3.1612405366339997
2002,OR,2.3086288021381822
2003,OR,3.049849066621485
2004,OR,2.4883608145312666
2005,OR,2.896013789
2006,OR,3.5686702864918862
